system:index,PANELID,first,.geo
000000000000000004ec,1261,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000004ed,1262,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e9d,3742,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e9e,3743,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e9f,3744,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea0,3745,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea1,3746,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea2,3747,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea3,3748,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea4,3749,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea5,3750,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea6,3751,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea7,3752,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea8,3753,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ea9,3754,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eaa,3755,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eab,3756,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eac,3757,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ead,3758,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eae,3759,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eaf,3760,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eb0,3761,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eb1,3762,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eb2,3763,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eb3,3764,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eb4,3765,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eb5,3766,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eb6,3767,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eb7,3768,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eb8,3769,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eb9,3770,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eba,3771,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ebb,3772,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ebc,3773,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ebd,3774,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ebe,3775,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ebf,3776,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec0,3777,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec1,3778,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec2,3779,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec3,3780,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec4,3781,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec5,3782,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec6,3783,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec7,3784,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec8,3785,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,8,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,9,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,10,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,11,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,12,10,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ec9,3786,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eca,3787,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ecb,3788,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ecc,3789,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ecd,3790,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ece,3791,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,13,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,14,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,15,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ecf,3792,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ed0,3793,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ed1,3794,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,17,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,18,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,19,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,20,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,21,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,22,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,23,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,24,58,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,25,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,26,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,27,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,28,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c,29,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d,30,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e,31,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f,32,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020,33,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021,34,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022,35,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023,36,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024,37,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025,38,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026,39,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027,40,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028,41,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029,42,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a,43,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b,44,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c,45,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d,46,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e,47,40,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f,48,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030,49,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031,50,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032,51,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033,52,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034,53,63,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035,54,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036,55,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037,56,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038,57,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039,58,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003a,59,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003b,60,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c,61,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d,62,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e,63,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f,64,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040,65,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000041,66,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000042,67,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000043,68,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000044,69,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000045,70,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000046,71,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000047,72,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000048,73,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000049,74,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004a,75,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004b,76,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c,77,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d,78,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e,79,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f,80,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050,81,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051,82,47,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052,83,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053,84,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054,85,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055,86,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056,87,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057,88,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058,89,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059,90,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a,91,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,92,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,93,56,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,94,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,95,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,96,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,97,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,98,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,99,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,100,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,101,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,102,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,103,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,104,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,105,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,106,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,107,46,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,108,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,109,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,110,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,111,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,112,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,113,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,114,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,115,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,116,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,117,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,118,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,119,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,120,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,121,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,122,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,123,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,124,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,125,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,126,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,127,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,128,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,129,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,130,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,131,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,132,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,133,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,134,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,135,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,136,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,137,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,138,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,139,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,140,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,141,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,142,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,143,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,144,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,145,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,146,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,147,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093,148,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094,149,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095,150,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096,151,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097,152,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098,153,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000099,154,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009a,155,55,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b,156,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009c,157,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009d,158,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009e,159,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009f,160,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a0,161,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a1,162,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a2,163,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a3,164,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a4,165,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a5,166,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a6,167,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a7,168,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a8,169,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000a9,170,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000aa,171,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ab,172,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ac,173,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ad,174,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ae,175,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000af,176,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b0,177,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b1,178,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b2,179,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b3,180,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b4,181,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b5,182,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b6,183,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b7,184,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000593,1428,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000594,1429,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000595,1430,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000596,1431,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000597,1432,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000598,1433,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000599,1434,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000059a,1435,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000059b,1436,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000059c,1437,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000059d,1438,66,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000059e,1439,65,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b8,185,13,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ed8,3801,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ed9,3802,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000eda,3803,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000edb,3804,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000edc,3805,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000edd,3806,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ede,3807,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000edf,3808,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ee0,3809,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ee1,3810,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ee2,3811,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ee3,3812,50,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000b9,186,36,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000059f,1440,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a0,1441,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000005a1,1442,48,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ba,187,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bb,188,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bc,189,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd,190,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000be,191,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bf,192,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c0,193,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c1,194,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c2,195,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c3,196,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c4,197,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c5,198,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c6,199,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c7,200,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c8,201,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000c9,202,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ca,203,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cb,204,49,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cc,205,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cd,206,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000ce,207,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000cf,208,60,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d0,209,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d1,210,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d2,211,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d3,212,57,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d4,213,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d5,214,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d6,215,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d7,216,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d8,217,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000d9,218,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000da,219,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000db,220,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dc,221,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000dd,222,59,"{""type"":""MultiPoint"",""coordinates"":[]}"
